cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD8 memory-like,CD3G,22.320787,2.8186533,2.3216692851819717e-110,2.410948022239424e-107,0.844468313641246,0.6278825076720737
CD8 memory-like,ZFP36L2,22.113363,1.8667624,2.3508363491186447e-108,2.1921309074271247e-105,0.7914070891514501,0.6744410346339325
CD8 memory-like,RPS25,22.043795,0.7249291,1.0955926667669309e-107,1.0011964025982921e-104,0.9486573576799141,0.9404647084612012
CD8 memory-like,RPL21,21.602306,0.5862708,1.7087066622432869e-103,1.5308671531611818e-100,0.9609022556390977,0.9626479614204296
CD8 memory-like,RP11-3P17.3,21.444702,0.91131,5.117243478905647e-102,4.411643189399185e-99,0.9278195488721804,0.9001315212626041
Cycling T,TUBB,31.859041,8.632785,9.866346188653932e-223,4.508130900519755e-218,0.8956386292834891,0.42567129329355297
Cycling T,STMN1,31.795153,10.477655,7.552708580903632e-222,1.7254918023932438e-217,0.8115264797507789,0.13847451031262162
Cycling T,HMGN2,31.694181,6.123542,1.8687188579806e-220,2.846183401961652e-216,0.9501557632398754,0.7174082241535867
Cycling T,TUBA1B,31.556828,8.227594,1.4452800082891653e-218,1.6509433534687135e-214,0.9190031152647975,0.5656375664807368
Cycling T,HMGB2,30.385498,8.325502,8.539307388107704e-203,7.803560663548343e-199,0.8707165109034268,0.3805292515241925
Cycling T,RP11-386G11.10,29.788828,7.279483,5.45150509649375e-195,4.15150284781654e-191,0.8956386292834891,0.5028538072382929
Cycling T,MKI67,29.32112,8.324621,5.580553567663907e-189,3.642666480195703e-185,0.7242990654205608,0.052406278375924244
Cycling T,UBE2C,29.076042,11.582064,7.212468116019179e-186,4.1194011644643544e-182,0.6931464174454829,0.021662991308859774
Cycling T,RPL12P38,28.881704,3.098751,2.026819097796112e-183,1.0289935357388882e-179,0.8862928348909658,0.44811259566740175
Cycling T,TOP2A,28.663368,9.410078,1.0923620435630454e-180,4.991220649448267e-177,0.7009345794392523,0.05104423401219354
Cycling T,H2AFZ,28.632666,7.203855,2.63533117365106e-180,1.0946686544224021e-176,0.9018691588785047,0.49234660786094175
