Symbol,Manning_Name,Group,Family,SubFamily,UniProtID,Entrez,Synonyms,Kinase_Name,found,needs_denovo_design
CSNK1A1,CK1a,CK1,CK1,,P48729,1452,,Casein kinase I isoform alpha,True,False
CSNK1A1L,CK1a2,CK1,CK1,,Q8N752,122011,,Casein kinase I isoform alpha-like,True,False
CSNK1D,CK1d,CK1,CK1,,P48730,1453,HCKID,Casein kinase I isoform delta,True,False
CSNK1E,CK1e,CK1,CK1,,P49674,1454,,Casein kinase I isoform epsilon,True,False
CSNK1G1,CK1g1,CK1,CK1,,Q9HCP0,53944,,Casein kinase I isoform gamma-1,True,False
CSNK1G2,CK1g2,CK1,CK1,,P78368,1455,CK1G2,Casein kinase I isoform gamma-2,True,False
CSNK1G3,CK1g3,CK1,CK1,,Q9Y6M4,1456,,Casein kinase I isoform gamma-3,True,False
TTBK1,TTBK1,CK1,TTBK,,Q5TCY1,84630,BDTK KIAA1855,Tau-tubulin kinase 1,True,False
TTBK2,TTBK2,CK1,TTBK,,Q6IQ55,146057,KIAA0847,Tau-tubulin kinase 2,True,False
VRK1,VRK1,CK1,VRK,,Q99986,7443,,Serine/threonine-protein kinase VRK1,True,False
VRK2,VRK2,CK1,VRK,,Q86Y07,7444,,Serine/threonine-protein kinase VRK2,True,False
VRK3,VRK3,CK1,VRK,,Q8IV63,51231,,Inactive serine/threonine-protein kinase VRK3,True,False
CDK1,CDC2,CMGC,CDK,CDC2,P06493,983,CDC2 CDC28A CDKN1 P34CDC2,Cyclin-dependent kinase 1,True,False
CDK10,CDK10,CMGC,CDK,CDK10,Q15131,8558,,Cyclin-dependent kinase 10,True,False
CDK11B,PITSLRE,CMGC,CDK,CDK11,P21127,984,CDC2L1 CDK11 PITSLREA,Cyclin-dependent kinase 11B,True,False
CDK12,CRK7,CMGC,CDK,CRK7,Q9NYV4,51755,CRK7 CRKRS KIAA0904,Cyclin-dependent kinase 12,True,False
CDK13,CHED,CMGC,CDK,CRK7,Q14004,8621,CDC2L CDC2L5 CHED KIAA1791,Cyclin-dependent kinase 13,True,False
CDK14,PFTAIRE1,CMGC,CDK,PFTAIRE,O94921,5218,KIAA0834 PFTK1,Cyclin-dependent kinase 14,True,False
CDK15,PFTAIRE2,CMGC,CDK,PFTAIRE,Q96Q40,65061,ALS2CR7 PFTK2,Cyclin-dependent kinase 15,True,False
CDK16,PCTAIRE1,CMGC,CDK,PCTAIRE,Q00536,5127,PCTAIRE1 PCTK1,Cyclin-dependent kinase 16,True,False
CDK17,PCTAIRE2,CMGC,CDK,PCTAIRE,Q00537,5128,PCTAIRE2 PCTK2,Cyclin-dependent kinase 17,True,False
CDK18,PCTAIRE3,CMGC,CDK,PCTAIRE,Q07002,5129,PCTAIRE3 PCTK3,Cyclin-dependent kinase 18,True,False
CDK19,CDK11,CMGC,CDK,CDK8,Q9BWU1,23097,CDC2L6 CDK11 KIAA1028,Cyclin-dependent kinase 19,True,False
CDK2,CDK2,CMGC,CDK,CDK2,P24941,1017,CDKN2,Cyclin-dependent kinase 2,True,False
CDK20,CCRK,CMGC,CDK,,Q8IZL9,23552,CCRK CDCH,Cyclin-dependent kinase 20,True,False
CDK3,CDK3,CMGC,CDK,CDK2,Q00526,1018,CDKN3,Cyclin-dependent kinase 3,True,False
CDK4,CDK4,CMGC,CDK,CDK4,P11802,1019,,Cyclin-dependent kinase 4,True,False
CDK5,CDK5,CMGC,CDK,CDK5,Q00535,1020,CDKN5 PSSALRE,Cyclin-dependent kinase 5,True,False
